宝可梦地区,现实地区,pokemon,纬度,经度,推荐地址,是否精确匹配,,,
真新镇,町田市,妙蛙种子、小火龙、杰尼龟、皮卡丘、鲤鱼王、蚊香蝌蚪、角金鱼、海星星、玛瑙水母、毒刺水母、灯笼鱼、大舌贝、电灯怪、墨海马、大钳蟹、暴鲤龙、海刺龙、巨钳蟹、可达鸭、呆呆兽、咕咕、榛果球、刺尾虫、圆丝蛛、芭瓢虫、波波、比比鸟、大比鸟,35.546656,139.4385568,"Machida, Tokyo, Japan",是,,,
１号道路,伊豆半岛,拉达、绿毛虫、波波,,,,否,,,
常青市,三岛市,鲤鱼王、角金鱼、蚊香蝌蚪、玛瑙水母、蚊香君、可达鸭、呆呆兽、暴鲤龙、咕咕、榛果球、刺尾虫、圆丝蛛、芭瓢虫、波波、比比鸟、大比鸟,35.1184912,138.9184977,"Mishima, Shizuoka, Japan",是,,,
常青森林,秩父山地,独角虫、铁壳蛹、绿毛虫、铁甲蛹、皮卡丘、波波、比比鸟、巴大蝶、大针蜂、咕咕、猫头夜鹰、橡实果、圆丝蛛、阿利多斯、芭瓢虫、安瓢虫、蘑蘑菇、圆法师、呆火驼、跳跳猪、含羞苞、尖牙笼、走路草、喇叭芽、妙蛙种子,,,,否,,,
２号道路,秩父市,绿毛虫、波波、拉达,35.9916443,139.0855869,"Chichibu, Saitama, Japan",是,,,
深灰市,绿市,烈焰马、天然鸟、咕咕、榛果球、刺尾虫、姆克儿、拉帝欧斯、拉帝亚斯、波波、比比鸟、大比鸟,36.3948318,139.2811456,"Midori, Gunma, Japan",是,,,
深灰科学博物馆,岩宿博物馆,化石盔,36.398885,139.2853172,"1790-1 Kasakakechō Azami, Midori, Gunma 379-2311, Japan",否,,,
３号道路,桐生市,尼多兰、卡蒂狗、皮皮,36.4053581,139.3304143,"Kiryu, Gunma, Japan",是,,,
月见山,赤城山,喵喵、超音蝠、小拳石、派拉斯、穿山鼠、皮皮、穿山王、幕下力士、阿勃梭鲁、铃铛响、铜镜怪、大岩蛇、吉利蛋、皮可西,36.5389572,139.1664295,"Akagiyama, Fujimimachi Akagisan, Maebashi, Gunma 371-0101, Japan",是,,,
月见山广场,大沼,蚊香蝌蚪、鲤鱼王,41.9987492,140.6903742,"Lake Onuma, Nanae, Kameda District, Hokkaido, Japan",是,,,
４号道路,佐野市,小拉达、卡蒂狗、绿毛虫、波波、鲤鱼王,36.3143908,139.5783915,"Sano, Tochigi, Japan",是,,,
华蓝市,宇都宫市,鲤鱼王、蚊香蝌蚪、角金鱼、可达鸭、大钳蟹、迷唇姐、鬼斯通、金鱼王、妙蛙种子、太阳珊瑚、海星星、巨钳蟹、玛瑙水母、墨海马、暴鲤龙、呆呆兽、咕咕、榛果球、三蜜蜂、波波、比比鸟、大比鸟、小拉达,36.5550745,139.8826209,"Utsunomiya, Tochigi, Japan",是,,,
华蓝洞窟,足尾铜山,大嘴蝠、三合一磁怪、隆隆石、阿柏怪、穿山王、摩鲁蛾、嘟嘟利、臭臭花、口呆花、派拉斯特、勇基拉、雷丘、百变怪、鲤鱼王、蚊香蝌蚪、角金鱼、呆壳兽、大钳蟹、海刺龙、金鱼王、顽皮雷弹、嘎啦嘎啦、拉达、独角犀牛、胖可丁、吉利蛋、钻角犀兽、大舌头、超梦、豪力、果然翁、小拳石、可达鸭、呆呆兽、哥达鸭、蚊香君、暴鲤龙、猫老大、幕下力士、阿勃梭鲁、铃铛响、铜镜怪、超音蝠、卡比兽、蚊香泳士,36.6332713,139.440568,"9-2 Ashiomachitsūdō, Nikko, Tochigi 321-1514, Japan",否,,,
24号道路,日光国立公园,,36.8936293,139.6344196,"Nikko National Park, Yumoto, Nikko, Tochigi 321-1662, Japan",是,,,
25号道路,盐原温泉乡,,,,,否,,,
海角小屋,北茨城市,,36.801915,140.7510448,"Kitaibaraki, Ibaraki, Japan",是,,,
9号道路,水户线,,0,0,Mito,Line,是,,
岩山隧道,筑波山,超音蝠、小拳石、腕力、大岩蛇、卡拉卡拉、豪力、嘎啦嘎啦、鬼斯通、袋兽、大嘴蝠、猴怪、隆隆石、幕下力士、阿勃梭鲁、铃铛响、铜镜怪、独角犀牛、小火龙,36.2253757,140.1074925,"Mount Tsukuba, Tsukuba, Ibaraki 300-4352, Japan",是,,,
6号道路,京叶线,,0,0,Keiyō,Line,是,,
